scenario,policy,dropped_mean,dropped_std,energy_mean,delay_mean,delivered_mean
burst,baseline,21969.4465186528,3377.454878799887,0.0191666666666666,5030.516393035477,11891.408026801748
burst,noop,21492.287219172787,3259.051847050886,0.0199999999999999,5128.032231703924,12376.167326281759
burst,ppo,21492.287219172787,3259.051847050886,0.0199694444444443,5128.034315036736,12376.167326281759
hotspot,baseline,12850.88929909683,2336.9806113748723,0.0191666666666666,9835.563750350382,6007.71070090317
hotspot,noop,12510.551419563293,2320.6873210135864,0.0199999999999999,10271.760668322737,6302.248580436705
hotspot,ppo,12510.551419563293,2320.6873210135864,0.0199694444444443,10271.765415792925,6302.248580436705
normal,baseline,99.58535643223665,7.729943525754005,0.016727222222222178,1169.0062431838917,5295.989649432608
normal,noop,44.05475490557306,7.549891734253714,0.0199999999999999,631.0799961028546,5352.376790526034
normal,ppo,45.26851721268112,7.1965165144787395,0.0196944444444443,647.694527276153,5351.163028218926
