scenario,bucket,ood_bucket,demand_scale,capacity_scale,off_proposals,off_candidates,off_applied_off,off_applied_on,off_masked_on,masked_pct_on,energy_mean_off,energy_mean_on,dropped_mean_off,dropped_mean_on,norm_drop_mean_off,norm_drop_mean_on,avg_path_latency_ms_mean_off,avg_path_latency_ms_mean_on,lat_tol_ms_used,norm_drop_tol_used,dropped_tol_used,lat_ok,norm_drop_ok,dropped_ok,safety_ok,stress_mask_ok,stress_reason_ok,ood_off_candidates_ok,ood_off_masked_ok,pass,mask_reason_counts_on
normal,mild,0,1.0,1.0,2,2,0,0,0,0.0,0.0899999999999999,0.0899999999999999,3083.892175169771,3083.892175169771,0.5662995700274422,0.5662995700274422,16.838646610266103,16.838646610266103,2.0,0.002,5.0,1,1,1,1,1,1,1,1,1,{}
normal,stress,0,1.4,0.8,2,2,0,0,0,0.0,0.0899999999999999,0.0899999999999999,3352.6026290247055,3352.6026290247055,0.6196465596884294,0.6196465596884294,16.760110679342628,16.760110679342628,2.0,0.002,5.0,1,1,1,1,0,0,1,1,0,{}
normal,extreme,1,1.8,0.7,2,2,0,0,0,0.0,0.0899999999999999,0.0899999999999999,3647.055078174396,3647.055078174396,0.6592387166813342,0.6592387166813342,16.712909525682978,16.712909525682978,5.0,0.005,15.0,1,1,1,1,1,1,1,0,0,{}
burst,mild,0,1.0,1.0,2,2,0,0,1,50.0,0.0899999999999999,0.0899999999999999,10922.445281085895,10922.445281085895,0.7366674350165913,0.7366674350165913,17.230328327621987,17.230328327621987,2.0,0.002,5.0,1,1,1,1,1,1,1,1,1,"{""qos_bound"": 1}"
burst,stress,0,1.4,0.8,2,2,0,0,1,50.0,0.0899999999999999,0.0899999999999999,11496.200669313166,11496.200669313166,0.7759384535483843,0.7759384535483843,17.094851910008025,17.094851910008025,2.0,0.002,5.0,1,1,1,1,1,1,1,1,1,"{""qos_bound"": 1}"
burst,extreme,1,1.8,0.7,2,2,0,0,1,50.0,0.0899999999999999,0.0899999999999999,11813.925585649022,11813.925585649022,0.7977055132539793,0.7977055132539793,17.006558218916386,17.006558218916386,5.0,0.005,15.0,1,1,1,1,1,1,1,1,1,"{""qos_bound"": 1}"
hotspot,mild,0,1.0,1.0,2,2,0,0,2,100.0,0.0899999999999999,0.0899999999999999,5110.495015607419,5110.495015607419,0.7248929100151338,0.7248929100151338,23.973682815989285,23.973682815989285,2.0,0.002,5.0,1,1,1,1,1,1,1,1,1,"{""qos_bound"": 2}"
hotspot,stress,0,1.4,0.8,2,2,0,0,2,100.0,0.0899999999999999,0.0899999999999999,5294.905103395025,5294.905103395025,0.7630085981630464,0.7630085981630464,23.988445828342773,23.988445828342773,2.0,0.002,5.0,1,1,1,1,1,1,1,1,1,"{""qos_bound"": 2}"
hotspot,extreme,1,1.8,0.7,2,2,0,0,2,100.0,0.0899999999999999,0.0899999999999999,5441.791965470648,5441.791965470648,0.7850876128443429,0.7850876128443429,23.98534725388887,23.98534725388887,5.0,0.005,15.0,1,1,1,1,1,1,1,1,1,"{""qos_bound"": 2}"
