scenario,policy,energy_mean,dropped_mean,qos_violation_rate_mean,toggles_total_mean,reward_mean,delta_energy_vs_heuristic,delta_dropped_vs_heuristic,delta_qos_violation_vs_heuristic,delta_toggles_vs_heuristic,delta_reward_vs_heuristic,delta_energy_vs_all_on,delta_dropped_vs_all_on,delta_qos_violation_vs_all_on,delta_toggles_vs_all_on,delta_reward_vs_all_on
burst,all_on,0.02,23309.93878385477,0.8483333333333334,0.0,-1093.4917661522677,0.0007352166666666667,-382.55344326730483,0.00012666666666671933,-1.22,13.585644940693328,0.0,0.0,0.0,0.0,0.0
burst,heuristic,0.019264783333333334,23692.492227122075,0.8482066666666667,1.22,-1107.077411092961,0.0,0.0,0.0,0.0,0.0,-0.0007352166666666667,382.55344326730483,-0.00012666666666671933,1.22,-13.585644940693328
burst,ppo,0.019969388888888894,23313.550690697208,0.8483466666666667,2.0,-1094.000736819859,0.0007046055555555604,-378.9415364248671,0.000140000000000029,0.78,13.076674273102071,-3.061111111110626e-05,3.6119068424377474,1.333333333330966e-05,2.0,-0.5089706675912566
hotspot,all_on,0.02,12657.588009081024,0.7560733333333334,0.0,-1040.3122684698094,0.0008333333333333352,-309.40927430253214,0.00031333333333338764,-1.0,22.666152841975645,0.0,0.0,0.0,0.0,0.0
hotspot,heuristic,0.019166666666666665,12966.997283383556,0.75576,1.0,-1062.978421311785,0.0,0.0,0.0,0.0,0.0,-0.0008333333333333352,309.40927430253214,-0.00031333333333338764,1.0,-22.666152841975645
hotspot,ppo,0.019969444444444446,12657.588009081024,0.7560733333333334,2.0,-1040.3307406920317,0.0008027777777777807,-309.40927430253214,0.00031333333333338764,1.0,22.647680619753373,-3.05555555555545e-05,0.0,0.0,2.0,-0.01847222222227174
normal,all_on,0.02,8432.871093147243,0.7337666666666667,0.0,-860.7054323307691,0.0008333333333333352,-139.50309097251193,-0.0005933333333333346,-1.0,10.213150082868083,0.0,0.0,0.0,0.0,0.0
normal,heuristic,0.019166666666666665,8572.374184119755,0.73436,1.0,-870.9185824136372,0.0,0.0,0.0,0.0,0.0,-0.0008333333333333352,139.50309097251193,0.0005933333333333346,1.0,-10.213150082868083
normal,ppo,0.019969444444444446,8439.20275981391,0.7340333333333333,2.0,-861.2613079498693,0.0008027777777777807,-133.171424305845,-0.0003266666666666973,1.0,9.657274463767862,-3.05555555555545e-05,6.3316666666669335,0.0002666666666666373,2.0,-0.5558756191002203
