scenario,episode_seed,forecaster,horizon_steps,points,mae,rmse,mape_pct,mape_points,mean_actual_demand,mean_predicted_demand
normal,0,ema,3,297,30.640989628939913,39.38795505620057,90.41973485448665,297,57.5959595959596,57.90039374172
normal,0,adaptive_ema,3,297,28.746401553668107,37.21988415022412,86.26697791421189,297,57.5959595959596,57.75433463745896
normal,1,ema,3,297,37.1885799981974,52.27150933171974,124.25550392919398,297,59.343434343434346,59.13921780591185
normal,1,adaptive_ema,3,297,34.927383040700434,48.990979172878944,125.50941515713363,297,59.343434343434346,58.947904720098386
normal,2,ema,3,297,33.0088880707469,48.648881842006325,120.522455244321,297,53.77104377104377,53.40184465016985
normal,2,adaptive_ema,3,297,31.454852238939203,45.5372768101956,118.52336946853003,297,53.77104377104377,53.28338681060589
normal,3,ema,3,297,35.19204139159307,46.3349476336372,112.17402035791744,296,57.56565656565657,57.507965554959505
normal,3,adaptive_ema,3,297,33.53674566854881,43.74048282461644,113.80880709831061,296,57.56565656565657,57.26519051008869
normal,4,ema,3,297,34.54171623822313,48.54010598292135,98.637277440422,297,65.65656565656566,65.67637639278757
normal,4,adaptive_ema,3,297,33.2554152693881,45.70260522968573,97.6145572887549,297,65.65656565656566,65.55922423621314
burst,0,ema,3,297,53.855028214649906,79.3036951247166,76.89948479232378,297,106.13131313131314,106.22603709739363
burst,0,adaptive_ema,3,297,53.38698969490307,77.80059111032067,81.28473100461333,297,106.13131313131314,105.864890538685
burst,1,ema,3,297,81.96003779406624,115.22792195688743,127.66043472147388,297,126.01010101010101,125.60249389218177
burst,1,adaptive_ema,3,297,78.37192667663979,109.29436755655139,129.1070459159332,297,126.01010101010101,124.97952035575676
burst,2,ema,3,297,59.79898644839507,85.28080172130876,93.96942301637358,297,127.5050505050505,127.86441960947802
burst,2,adaptive_ema,3,297,59.025237581716006,83.49788829070982,98.26482667397623,297,127.5050505050505,127.56558005514073
burst,3,ema,3,297,47.4159343832811,65.74881408668388,80.71445802921438,297,97.24242424242425,96.69978602582736
burst,3,adaptive_ema,3,297,46.072022472897274,63.34572903528222,81.3839403733919,297,97.24242424242425,96.5591144507178
burst,4,ema,3,297,64.20189394634626,94.63756809735456,99.35865893731697,297,112.96969696969697,112.7563711532017
burst,4,adaptive_ema,3,297,63.89660572425075,93.1719800559846,103.23091279300205,297,112.96969696969697,112.6103206932521
hotspot,0,ema,3,297,40.58391952282385,59.34183299770151,105.08340472010089,297,74.08754208754209,73.78387687997942
hotspot,0,adaptive_ema,3,297,39.29180611340318,57.68699007952628,103.55235965322088,297,74.08754208754209,73.63114498887542
hotspot,1,ema,3,297,41.182784568153735,57.01364770001302,147.77265918981053,293,62.54882154882155,62.4128559447351
hotspot,1,adaptive_ema,3,297,38.75797672664462,53.91498666547845,141.6857070829838,293,62.54882154882155,62.19102548139184
hotspot,2,ema,3,297,39.64242112470166,57.056027488807906,114.83592674428083,293,65.43771043771044,65.26619431050162
hotspot,2,adaptive_ema,3,297,38.25922607174834,54.75313188093295,116.96306652433779,293,65.43771043771044,65.00898680426668
hotspot,3,ema,3,297,25.247546880608933,34.2271875474353,75.21952151607046,297,50.063973063973066,49.47186154509185
hotspot,3,adaptive_ema,3,297,24.342670342269496,32.60904467369019,75.08803143432581,297,50.063973063973066,49.20819522727166
hotspot,4,ema,3,297,40.76437356730508,57.624152131300725,117.56283050867162,297,66.75420875420875,66.8295273448021
hotspot,4,adaptive_ema,3,297,39.493742605958374,54.87919992270283,122.24426755834573,297,66.75420875420875,66.70105021499845
