policy,scenario,reward_total_mean_mean,reward_total_mean_std,reward_total_mean_count,delivered_total_mean_mean,delivered_total_mean_std,delivered_total_mean_count,dropped_total_mean_mean,dropped_total_mean_std,dropped_total_mean_count,energy_kwh_total_mean_mean,energy_kwh_total_mean_std,energy_kwh_total_mean_count,carbon_g_total_mean_mean,carbon_g_total_mean_std,carbon_g_total_mean_count,avg_utilization_mean_mean,avg_utilization_mean_std,avg_utilization_mean_count,active_ratio_mean_mean,active_ratio_mean_std,active_ratio_mean_count,avg_delay_ms_mean_mean,avg_delay_ms_mean_std,avg_delay_ms_mean_count
all_on,burst,-1093.4917661522675,2.0864894500112388,10,13014.730611838751,22.803938269730043,10,23309.938783854774,99.12989218766268,10,0.0199999999999999,0.0,10,0.0873753594082402,0.0,10,0.3589543553373168,0.0006733214164301773,10,1.0,0.0,10,5057.0341333297565,7.5333264953710355,10
all_on,hotspot,-1040.3122684698092,1.4255140848269465,10,6328.347464076248,11.430138932104107,10,12657.588009081024,56.05807443683966,10,0.0199999999999999,0.0,10,0.0873753594082402,0.0,10,0.23575143609337204,0.00042253569985320575,10,1.0,0.0,10,10324.95356184252,17.32367421549612,10
all_on,normal,-860.705432330769,2.0055417629772356,10,7840.986399484592,10.724479140568869,10,8432.871093147243,55.919500967012645,10,0.0199999999999999,0.0,10,0.0873753594082402,0.0,10,0.22433628862123042,0.00046110425806074237,10,1.0,0.0,10,4931.863713257428,17.14634826223378,10
heuristic,burst,-1107.0774110929615,2.221239920301463,10,12622.697068236728,22.07405473495057,10,23692.492227122075,101.5829432260739,10,0.01926478333333325,3.7959304250163207e-06,10,0.08425144272535898,2.1285639408538737e-05,10,0.3684326077820598,0.0006568825780708511,10,0.9535652825319765,0.0002397428741824428,10,5058.973220792961,8.590109122197983,10
heuristic,hotspot,-1062.9784213117857,1.471509703231649,10,6018.7962908574755,9.968231383511702,10,12966.997283383558,58.1945918173784,10,0.0191666666666666,0.0,10,0.0837347194328968,0.0,10,0.23739069489803474,0.0004629976712820958,10,0.9473684430122375,0.0,10,9921.125156769052,23.762031301597695,10
heuristic,normal,-870.9185824136387,2.0484262405413407,10,7708.561214361747,8.203849188051707,10,8572.374184119757,58.87112255019601,10,0.0191666666666666,0.0,10,0.0837347194328968,0.0,10,0.23552704964022567,0.00038835947503698096,10,0.9473684430122375,0.0,10,4984.861899704559,12.266050196926207,10
ppo,burst,-1094.000736819859,2.0873233693073865,10,13009.54233991,22.584005522790118,10,23313.550690697208,98.96462632764454,10,0.0199693888888887,0.0,10,0.0869827173646049,0.0,10,0.3593861435844042,0.0006707269349340751,10,0.9980666674733161,0.0,10,5057.141854665205,7.476691455057472,10
ppo,hotspot,-1040.3307406920314,1.4255140848269492,10,6328.347464076248,11.430138932104107,10,12657.588009081024,56.05807443683966,10,0.0199694444444443,0.0,10,0.086976891092827,0.0,10,0.23609569502565617,0.00042218191143861836,10,0.9980701762437821,0.0,10,10327.150794069365,17.323627389671405,10
ppo,normal,-861.2613079498691,2.051699103664241,10,7839.806732817926,10.694727795441798,10,8439.20275981391,56.486993607845285,10,0.0199694444444443,0.0,10,0.086976891092827,0.0,10,0.2246179376754895,0.0004603543777152768,10,0.9980701762437821,0.0,10,4931.828229665729,16.89463593295337,10
